"VDC";"r Vo.V";"i Vo.V"
0;0;0
0.0005;9.57576e-06;0
0.001;1.93313e-05;0
0.0015;2.92698e-05;0
0.002;3.93947e-05;0
0.0025;4.97092e-05;0
0.003;6.02168e-05;0
0.0035;7.09209e-05;0
0.004;8.1825e-05;0
0.0045;9.29327e-05;0
0.005;0.000104248;0
0.0055;0.000115773;0
0.006;0.000127514;0
0.0065;0.000139473;0
0.007;0.000151654;0
0.0075;0.000164061;0
0.008;0.000176699;0
0.0085;0.000189571;0
0.009;0.000202681;0
0.0095;0.000216034;0
0.01;0.000229633;0
0.0105;0.000243484;0
0.011;0.00025759;0
0.0115;0.000271956;0
0.012;0.000286586;0
0.0125;0.000301486;0
0.013;0.000316659;0
0.0135;0.00033211;0
0.014;0.000347844;0
0.0145;0.000363866;0
0.015;0.000380181;0
0.0155;0.000396793;0
0.016;0.000413709;0
0.0165;0.000430932;0
0.017;0.000448469;0
0.0175;0.000466324;0
0.018;0.000484503;0
0.0185;0.000503011;0
0.019;0.000521854;0
0.0195;0.000541037;0
0.02;0.000560566;0
0.0205;0.000580447;0
0.021;0.000600685;0
0.0215;0.000621286;0
0.022;0.000642257;0
0.0225;0.000663603;0
0.023;0.000685331;0
0.0235;0.000707446;0
0.024;0.000729955;0
0.0245;0.000752864;0
0.025;0.00077618;0
0.0255;0.000799909;0
0.026;0.000824057;0
0.0265;0.000848632;0
0.027;0.00087364;0
0.0275;0.000899088;0
0.028;0.000924983;0
0.0285;0.000951332;0
0.029;0.000978141;0
0.0295;0.00100542;0
0.03;0.00103317;0
0.0305;0.00106141;0
0.031;0.00109013;0
0.0315;0.00111935;0
0.032;0.00114908;0
0.0325;0.00117932;0
0.033;0.00121008;0
0.0335;0.00124137;0
0.034;0.00127319;0
0.0345;0.00130556;0
0.035;0.00133848;0
0.0355;0.00137195;0
0.036;0.001406;0
0.0365;0.00144062;0
0.037;0.00147583;0
0.0375;0.00151163;0
0.038;0.00154803;0
0.0385;0.00158504;0
0.039;0.00162266;0
0.0395;0.00166092;0
0.04;0.00169981;0
0.0405;0.00173934;0
0.041;0.00177952;0
0.0415;0.00182037;0
0.042;0.00186189;0
0.0425;0.00190409;0
0.043;0.00194698;0
0.0435;0.00199056;0
0.044;0.00203485;0
0.0445;0.00207986;0
0.045;0.00212559;0
0.0455;0.00217206;0
0.046;0.00221927;0
0.0465;0.00226724;0
0.047;0.00231597;0
0.0475;0.00236547;0
0.048;0.00241575;0
0.0485;0.00246683;0
0.049;0.0025187;0
0.0495;0.00257139;0
0.05;0.0026249;0
0.0505;0.00267923;0
0.051;0.00273441;0
0.0515;0.00279044;0
0.052;0.00284732;0
0.0525;0.00290508;0
0.053;0.00296371;0
0.0535;0.00302323;0
0.054;0.00308365;0
0.0545;0.00314498;0
0.055;0.00320723;0
0.0555;0.0032704;0
0.056;0.00333451;0
0.0565;0.00339957;0
0.057;0.00346559;0
0.0575;0.00353257;0
0.058;0.00360053;0
0.0585;0.00366947;0
0.059;0.00373941;0
0.0595;0.00381036;0
0.06;0.00388232;0
0.0605;0.00395531;0
0.061;0.00402933;0
0.0615;0.0041044;0
0.062;0.00418051;0
0.0625;0.00425769;0
0.063;0.00433595;0
0.0635;0.00441528;0
0.064;0.00449571;0
0.0645;0.00457723;0
0.065;0.00465987;0
0.0655;0.00474362;0
0.066;0.0048285;0
0.0665;0.00491451;0
0.067;0.00500167;0
0.0675;0.00508999;0
0.068;0.00517946;0
0.0685;0.00527011;0
0.069;0.00536194;0
0.0695;0.00545495;0
0.07;0.00554916;0
0.0705;0.00564458;0
0.071;0.0057412;0
0.0715;0.00583905;0
0.072;0.00593812;0
0.0725;0.00603844;0
0.073;0.00613999;0
0.0735;0.0062428;0
0.074;0.00634686;0
0.0745;0.00645219;0
0.075;0.00655879;0
0.0755;0.00666667;0
0.076;0.00677584;0
0.0765;0.00688631;0
0.077;0.00699807;0
0.0775;0.00711114;0
0.078;0.00722552;0
0.0785;0.00734122;0
0.079;0.00745824;0
0.0795;0.0075766;0
0.08;0.00769629;0
0.0805;0.00781733;0
0.081;0.00793971;0
0.0815;0.00806344;0
0.082;0.00818854;0
0.0825;0.00831499;0
0.083;0.00844281;0
0.0835;0.00857201;0
0.084;0.00870258;0
0.0845;0.00883453;0
0.085;0.00896787;0
0.0855;0.00910259;0
0.086;0.00923871;0
0.0865;0.00937622;0
0.087;0.00951514;0
0.0875;0.00965545;0
0.088;0.00979718;0
0.0885;0.00994031;0
0.089;0.0100848;0
0.0895;0.0102308;0
0.09;0.0103782;0
0.0905;0.010527;0
0.091;0.0106772;0
0.0915;0.0108288;0
0.092;0.0109819;0
0.0925;0.0111364;0
0.093;0.0112923;0
0.0935;0.0114496;0
0.094;0.0116084;0
